nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile
E,E01027112,27.542,27.400000000000002,14.499999999999998,27.542,3,3,11539.0,3,2
S,S01010278,36.643612270516,27.0,15.0,27.540496629372228,2,3,11540.0,3,2
E,E01003051,27.54,26.8,15.1,27.54,3,3,11541.0,3,2
E,E01034149,27.539,35.4,14.799999999999999,27.539,3,3,11542.5,3,2
E,E01015293,27.539,32.1,17.599999999999998,27.539,3,3,11542.5,3,2
E,E01030026,27.538,33.4,14.799999999999999,27.538,3,3,11544.0,3,2
E,E01024358,27.537,31.7,17.9,27.537,3,3,11545.0,3,2
E,E01032649,27.536,34.1,17.9,27.536,3,3,11546.0,3,2
E,E01010361,27.534,29.5,15.4,27.534,3,3,11548.0,3,2
E,E01006104,27.534,30.4,18.5,27.534,3,3,11548.0,3,2
E,E01033871,27.534,32.4,16.400000000000002,27.534,3,3,11548.0,3,2
W,W01001023,37.1,23.0,19.0,27.532811128107085,2,3,11550.0,3,2
S,S01011024,35.18866825844542,20.0,13.0,27.532559819897788,2,3,11551.0,3,2
E,E01005727,27.532,27.700000000000003,14.399999999999999,27.532,3,3,11552.0,3,2
E,E01005622,27.53,20.7,11.799999999999999,27.53,3,3,11553.0,3,2
E,E01002805,27.527,27.400000000000002,13.100000000000001,27.527,3,3,11554.0,3,2
E,E01018902,27.526,16.8,11.899999999999999,27.526,3,3,11555.5,3,2
E,E01018548,27.526,27.3,20.0,27.526,3,3,11555.5,3,2
E,E01003950,27.522,31.0,19.1,27.522,3,3,11557.5,3,2
E,E01020394,27.522,24.8,22.3,27.522,3,3,11557.5,3,2
E,E01031562,27.521,34.300000000000004,18.3,27.521,3,3,11559.0,3,2
E,E01026719,27.52,18.0,14.299999999999999,27.52,3,3,11560.0,3,2
E,E01013786,27.518,26.3,12.8,27.518,3,3,11561.0,3,2
E,E01001493,27.517,33.5,16.6,27.517,3,3,11562.0,3,2
E,E01013614,27.515,24.099999999999998,13.900000000000002,27.515,3,3,11563.0,3,2
E,E01019291,27.514,27.800000000000004,18.6,27.514,3,3,11564.0,3,2
E,E01031608,27.512,30.7,14.099999999999998,27.512,3,3,11565.5,3,2
E,E01030364,27.512,36.8,15.7,27.512,3,3,11565.5,3,2
E,E01011052,27.511,29.9,17.1,27.511,3,3,11567.0,3,2
E,E01035215,27.51,31.3,19.2,27.51,3,3,11568.0,3,2
E,E01035692,27.507,42.1,13.900000000000002,27.507,3,3,11569.0,3,2
E,E01017568,27.505,27.0,14.2,27.505,3,3,11570.0,3,2
S,S01010388,38.060448985265886,24.0,17.0,27.50413599826371,2,3,11571.0,3,2
S,S01011710,38.05466725574726,22.0,17.0,27.497415085529788,2,3,11572.0,3,2
N,95UU06W1,13.293258755333127,11.7,20.3,27.49554019518208,7,3,11573.0,3,2
E,E01002702,27.494,38.800000000000004,15.2,27.494,3,3,11574.0,3,2
E,E01032104,27.49,32.1,17.0,27.49,3,3,11575.0,3,2
