nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
S,S01007215,19.369513158761887,13.0,13.0,13.315607174398751,5,7,30606.0,8,4
E,E01027428,9.925,10.299999999999999,8.6,13.315202630866994,8,7,30607.0,8,4
E,E01015800,10.369,14.399999999999999,6.1,13.315100382247701,8,7,30608.0,8,4
S,S01012441,14.798524691514077,6.0,5.0,13.314171374611325,6,7,30609.0,8,4
E,E01004660,10.759,8.1,3.9,13.31413017324467,8,7,30610.0,8,4
E,E01025015,9.977,12.8,8.3,13.313625507311695,8,7,30611.0,8,4
E,E01029147,10.403,9.6,5.8999999999999995,13.313233938564487,8,7,30612.0,8,4
E,E01021914,10.136,10.7,7.3999999999999995,13.312561762554349,8,7,30613.0,8,4
S,S01012506,18.222814137974684,10.0,11.0,13.309632049263712,5,7,30614.0,8,4
E,E01030085,9.867,11.600000000000001,8.9,13.309444502605176,8,7,30615.0,8,4
E,E01022522,10.595,9.0,4.8,13.309081208154414,8,7,30616.0,8,4
E,E01025346,10.026,13.8,8.0,13.308380757847832,8,7,30617.0,8,4
E,E01012584,10.203,10.0,7.000000000000001,13.3076063332184,8,7,30618.0,8,4
E,E01024564,10.043,14.299999999999999,7.9,13.307447536006226,8,7,30619.0,8,4
E,E01021902,10.522,8.799999999999999,5.2,13.30670138567324,8,7,30620.0,8,4
E,E01027016,10.468,7.9,5.5,13.3058334252895,8,7,30621.0,8,4
E,E01008518,9.668,11.5,10.0,13.305039439228604,8,7,30622.0,8,4
E,E01020666,9.648,11.899999999999999,10.100000000000001,13.302305035161655,8,7,30623.0,8,4
E,E01001968,9.949,13.3,8.4,13.30111076748858,8,7,30624.0,8,4
E,E01007135,9.931,11.3,8.5,13.300821447360665,8,7,30625.0,8,4
S,S01012958,15.931321285812915,10.0,7.0,13.300389323664032,6,7,30626.0,8,4
W,W01000081,13.3,13.0,5.0,13.3,7,7,30630.5,8,4
W,W01000556,13.3,10.0,7.0,13.3,7,7,30630.5,8,4
W,W01000645,13.3,11.0,8.0,13.3,7,7,30630.5,8,4
W,W01001571,13.3,9.0,9.0,13.3,7,7,30630.5,8,4
W,W01000447,13.3,8.0,4.0,13.3,7,7,30630.5,8,4
W,W01000506,13.3,14.0,8.0,13.3,7,7,30630.5,8,4
W,W01000074,13.3,12.0,7.0,13.3,7,7,30630.5,8,4
W,W01000829,13.3,13.0,9.0,13.3,7,7,30630.5,8,4
E,E01034695,10.179,10.6,7.1,13.299981761273369,8,7,30635.0,8,4
