nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_W_score,original_decile,W_expanded_decile,GB_IMD_W_rank,GB_IMD_W_pop_decile,GB_IMD_W_pop_quintile
S,S01006610,23.27551658584972,12.0,14.0,15.513497339544896,4,6,27396.0,7,4
S,S01012535,19.269849036541547,10.0,7.0,15.51319678307139,5,6,27397.0,7,4
E,E01010957,14.369,7.5,7.8,15.512783642171359,6,6,27398.0,7,4
E,E01030093,10.875,12.9,8.3,15.51120718195491,8,6,27399.0,7,4
S,S01007505,20.4657928102051,11.0,9.0,15.510526017285489,5,6,27400.0,7,4
E,E01018708,12.587,8.0,4.8,15.510491117067486,7,6,27401.0,7,4
E,E01003778,10.253,12.0,5.7,15.510312906870155,8,6,27402.0,7,4
E,E01016139,11.724,11.600000000000001,8.200000000000001,15.50956805082749,7,6,27403.0,7,4
S,S01007570,20.178037208091308,13.0,8.0,15.509528859940207,5,6,27404.0,7,4
E,E01015955,10.968,12.0,7.199999999999999,15.507992371012628,8,6,27405.0,7,4
S,S01007655,18.354732404567194,7.0,6.0,15.50733020373499,5,6,27406.0,7,4
S,S01008731,20.83336270193613,14.0,9.0,15.501273373814714,4,6,27407.0,7,4
W,W01000916,15.5,11.0,8.0,15.5,6,6,27412.0,7,4
W,W01000442,15.5,9.0,5.0,15.5,6,6,27412.0,7,4
W,W01000089,15.5,8.0,5.0,15.5,6,6,27412.0,7,4
W,W01000004,15.5,12.0,9.0,15.5,6,6,27412.0,7,4
W,W01001369,15.5,13.0,9.0,15.5,6,6,27412.0,7,4
W,W01001470,15.5,11.0,9.0,15.5,6,6,27412.0,7,4
W,W01000689,15.5,11.0,7.0,15.5,6,6,27412.0,7,4
W,W01000477,15.5,10.0,5.0,15.5,6,6,27412.0,7,4
W,W01001838,15.5,10.0,5.0,15.5,6,6,27412.0,7,4
S,S01011223,21.654265172440432,12.0,11.0,15.497573574715252,4,6,27417.0,7,4
E,E01020583,10.967,13.3,9.1,15.496151974984874,8,6,27418.0,7,4
S,S01011926,22.31429745649933,13.0,12.0,15.495795271132533,4,6,27419.0,7,4
S,S01012400,20.20539519709516,9.0,9.0,15.495569359887883,5,6,27420.0,7,4
